Usia,IPK,SKD,Wawancara,Mengajar,Lulus,Lokasi,Lektor
31,3.68,29.091,8.0,8.0,0,5317. UNIVERSITAS SAM RATULANGI FAKULTAS ILMU BUDAYA JURUSAN SASTRA INGGRIS ,tidak
31,3.59,26.764,8.0,8.8,0,5317. UNIVERSITAS SAM RATULANGI FAKULTAS ILMU BUDAYA JURUSAN SASTRA INGGRIS ,tidak
33,3.8,26.691,8.0,8.8,0,5317. UNIVERSITAS SAM RATULANGI FAKULTAS ILMU BUDAYA JURUSAN SASTRA INGGRIS ,tidak
31,3.9,27.491,10.4,0.0,0,5317. UNIVERSITAS SAM RATULANGI FAKULTAS ILMU BUDAYA JURUSAN SASTRA INGGRIS ,tidak
31,3.98,28.0,11.6,12.0,1,5317. UNIVERSITAS SAM RATULANGI FAKULTAS ILMU BUDAYA JURUSAN SASTRA INGGRIS ,tidak
25,4.0,30.618,8.8,7.2,0,5317. UNIVERSITAS SAM RATULANGI FAKULTAS ILMU BUDAYA JURUSAN SASTRA INGGRIS ,tidak
31,3.77,25.6,18.8,14.8,0,2561. POLITEKNIK NEGERI SRIWIJAYA JURUSAN ADMINISTRASI BISNIS ,tidak
32,3.89,28.582,15.2,15.2,1,3093. UNIVERSITAS BRAWIJAYA FAKULTAS PERIKANAN DAN ILMU KELAUTAN ,tidak
28,3.86,24.436,18.4,18.0,0,3093. UNIVERSITAS BRAWIJAYA FAKULTAS PERIKANAN DAN ILMU KELAUTAN ,tidak
34,3.93,25.309,18.8,17.2,0,3093. UNIVERSITAS BRAWIJAYA FAKULTAS PERIKANAN DAN ILMU KELAUTAN ,tidak
27,3.9,29.309,12.8,20.0,1,3381. UNIVERSITAS JENDERAL SOEDIRMAN FAKULTAS BIOLOGI ,tidak
26,3.32,26.909,12.8,0.0,0,3381. UNIVERSITAS JENDERAL SOEDIRMAN FAKULTAS BIOLOGI ,tidak
30,3.76,29.018,20.0,20.0,1,2468. POLITEKNIK NEGERI PADANG JURUSAN TEKNOLOGI INFORMASI ,tidak
33,3.55,25.382,20.0,20.0,1,2468. POLITEKNIK NEGERI PADANG JURUSAN TEKNOLOGI INFORMASI ,tidak
28,3.5,25.382,20.0,17.6,1,"3217. UNIVERSITAS JAMBI FAKULTAS EKONOMI DAN BISNIS 1
",tidak
29,3.76,24.654,20.0,16.4,0,"3217. UNIVERSITAS JAMBI FAKULTAS EKONOMI DAN BISNIS 1
",tidak
34,3.28,27.127,20.0,14.0,0,"3217. UNIVERSITAS JAMBI FAKULTAS EKONOMI DAN BISNIS 1
",tidak
30,3.88,28.727,16.0,13.6,0,6070. UNIVERSITAS TIMOR FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
33,3.72,25.454,17.6,16.4,0,6070. UNIVERSITAS TIMOR FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
31,3.88,25.527,17.6,16.4,0,6070. UNIVERSITAS TIMOR FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
26,3.75,32.946,18.4,20.0,1,5295. UNIVERSITAS RIAU FAKULTAS PERIKANAN DAN KELAUTAN ,tidak
30,4.0,28.509,16.0,18.4,0,5295. UNIVERSITAS RIAU FAKULTAS PERIKANAN DAN KELAUTAN ,tidak
32,3.7,29.673,15.6,14.4,1,3571. UNIVERSITAS LAMBUNG MANGKURAT FAKULTAS TEKNIK ,tidak
31,3.59,28.218,20.0,20.0,1,6106. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS EKONOMI DAN BISNIS ,tidak
34,3.69,25.382,20.0,20.0,1,6106. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS EKONOMI DAN BISNIS ,tidak
31,3.64,31.127,6.0,5.6,0,6106. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS EKONOMI DAN BISNIS ,tidak
28,3.57,30.109,5.6,5.6,0,6106. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS EKONOMI DAN BISNIS ,tidak
32,3.4,27.127,5.2,4.4,0,6106. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS EKONOMI DAN BISNIS ,tidak
32,3.29,26.182,5.6,6.4,0,6106. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS EKONOMI DAN BISNIS ,tidak
27,3.95,28.8,12.0,12.8,1,6106. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS EKONOMI DAN BISNIS ,tidak
32,3.86,30.909,19.6,19.2,1,"4577. UNIVERSITAS NEGERI SEMARANG FAKULTAS HUKUM 1
",tidak
29,3.78,32.073,13.6,12.4,0,"4577. UNIVERSITAS NEGERI SEMARANG FAKULTAS HUKUM 1
",tidak
29,3.75,30.836,12.4,12.4,0,"4577. UNIVERSITAS NEGERI SEMARANG FAKULTAS HUKUM 1
",tidak
25,3.84,30.982,18.8,12.0,1,2691. POLITEKNIK NEGERI UJUNG PANDANG JURUSAN TEKNIK SIPIL ,tidak
33,3.51,27.927,15.2,16.0,1,1883. POLITEKNIK MANUFAKTUR BANDUNG JURUSAN TEKNIK OTOMASI MANUFAKTUR DAN MEKATRONIKA ,tidak
29,3.27,27.127,11.6,14.4,0,1883. POLITEKNIK MANUFAKTUR BANDUNG JURUSAN TEKNIK OTOMASI MANUFAKTUR DAN MEKATRONIKA ,tidak
31,3.36,27.273,14.8,14.0,0,1883. POLITEKNIK MANUFAKTUR BANDUNG JURUSAN TEKNIK OTOMASI MANUFAKTUR DAN MEKATRONIKA ,tidak
28,3.68,32.291,17.6,17.2,1,"3441. UNIVERSITAS KHAIRUN FAKULTAS ILMU BUDAYA 4
",tidak
24,3.6,29.309,18.8,20.0,1,"3441. UNIVERSITAS KHAIRUN FAKULTAS ILMU BUDAYA 4
",tidak
30,3.34,30.254,18.0,19.2,1,"3441. UNIVERSITAS KHAIRUN FAKULTAS ILMU BUDAYA 4
",tidak
29,3.88,29.6,19.6,20.0,1,"3441. UNIVERSITAS KHAIRUN FAKULTAS ILMU BUDAYA 4
",tidak
33,3.6,28.873,18.8,17.2,0,"3441. UNIVERSITAS KHAIRUN FAKULTAS ILMU BUDAYA 4
",tidak
31,4.0,28.8,19.6,16.8,0,"3441. UNIVERSITAS KHAIRUN FAKULTAS ILMU BUDAYA 4
",tidak
27,3.68,28.946,18.8,15.6,0,"3441. UNIVERSITAS KHAIRUN FAKULTAS ILMU BUDAYA 4
",tidak
34,3.8,29.6,17.2,18.4,0,"3441. UNIVERSITAS KHAIRUN FAKULTAS ILMU BUDAYA 4
",tidak
33,3.47,30.109,18.8,11.2,0,"3441. UNIVERSITAS KHAIRUN FAKULTAS ILMU BUDAYA 4
",tidak
32,3.46,29.236,17.2,15.6,0,"3441. UNIVERSITAS KHAIRUN FAKULTAS ILMU BUDAYA 4
",tidak
34,3.59,32.8,17.2,13.2,0,"3441. UNIVERSITAS KHAIRUN FAKULTAS ILMU BUDAYA 4
",tidak
29,3.68,30.254,18.0,13.6,0,"3441. UNIVERSITAS KHAIRUN FAKULTAS ILMU BUDAYA 4
",tidak
31,3.68,25.891,0.0,18.4,0,3550. UNIVERSITAS LAMBUNG MANGKURAT FAKULTAS PERIKANAN DAN KELAUTAN ,tidak
35,3.76,32.873,16.8,17.2,1,6132. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS ILMU SOSIAL DAN ILMU BUDAYA ,tidak
35,3.6,30.836,14.8,16.4,1,6132. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS ILMU SOSIAL DAN ILMU BUDAYA ,tidak
34,3.68,30.546,15.6,15.6,1,6132. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS ILMU SOSIAL DAN ILMU BUDAYA ,tidak
27,3.65,31.564,15.2,16.8,1,6132. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS ILMU SOSIAL DAN ILMU BUDAYA ,tidak
27,3.46,27.636,14.8,14.8,0,6132. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS ILMU SOSIAL DAN ILMU BUDAYA ,tidak
35,3.47,30.109,12.8,10.8,0,6132. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS ILMU SOSIAL DAN ILMU BUDAYA ,tidak
23,3.73,24.073,18.4,17.2,0,6132. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS ILMU SOSIAL DAN ILMU BUDAYA ,tidak
33,3.64,28.509,14.0,10.8,0,6132. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS ILMU SOSIAL DAN ILMU BUDAYA ,tidak
33,3.54,26.909,11.6,15.6,0,6132. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS ILMU SOSIAL DAN ILMU BUDAYA ,tidak
32,3.53,26.109,11.6,12.4,0,6132. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS ILMU SOSIAL DAN ILMU BUDAYA ,tidak
31,3.61,30.691,13.6,15.6,1,6132. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS ILMU SOSIAL DAN ILMU BUDAYA ,tidak
33,3.37,30.254,18.8,18.4,1,"5946. UNIVERSITAS TEUKU UMAR FAKULTAS EKONOMI 1
",tidak
31,3.76,31.2,16.4,16.4,0,"5946. UNIVERSITAS TEUKU UMAR FAKULTAS EKONOMI 1
",tidak
32,3.61,31.273,0.0,0.0,0,"5946. UNIVERSITAS TEUKU UMAR FAKULTAS EKONOMI 1
",tidak
34,3.69,31.636,15.6,9.6,1,3346. UNIVERSITAS JEMBER FAKULTAS MATEMATIKAN DAN ILMU PENGETAHUAN ALAM ,tidak
25,3.88,31.2,10.8,11.6,0,3346. UNIVERSITAS JEMBER FAKULTAS MATEMATIKAN DAN ILMU PENGETAHUAN ALAM ,tidak
25,3.93,31.418,12.4,11.2,0,3346. UNIVERSITAS JEMBER FAKULTAS MATEMATIKAN DAN ILMU PENGETAHUAN ALAM ,tidak
26,3.85,31.564,14.4,18.4,1,"5415. UNIVERSITAS SILIWANGI FAKULTAS EKONOMI 4
",tidak
26,3.35,30.691,19.6,13.6,1,"5415. UNIVERSITAS SILIWANGI FAKULTAS EKONOMI 4
",tidak
30,3.27,31.273,13.2,15.2,1,"5415. UNIVERSITAS SILIWANGI FAKULTAS EKONOMI 4
",tidak
26,3.53,27.564,19.2,12.4,0,"5415. UNIVERSITAS SILIWANGI FAKULTAS EKONOMI 4
",tidak
30,3.71,28.582,14.4,12.0,0,"5415. UNIVERSITAS SILIWANGI FAKULTAS EKONOMI 4
",tidak
35,3.3,28.582,13.2,11.6,0,"5415. UNIVERSITAS SILIWANGI FAKULTAS EKONOMI 4
",tidak
31,3.13,26.764,12.0,12.8,0,"5415. UNIVERSITAS SILIWANGI FAKULTAS EKONOMI 4
",tidak
27,3.32,29.964,0.0,0.0,0,"5415. UNIVERSITAS SILIWANGI FAKULTAS EKONOMI 4
",tidak
26,3.76,29.164,16.0,14.4,1,"5415. UNIVERSITAS SILIWANGI FAKULTAS EKONOMI 4
",tidak
31,3.46,32.436,10.0,18.8,1,4606. UNIVERSITAS NEGERI SEMARANG FAKULTAS ILMU SOSIAL ,tidak
31,3.69,32.436,9.6,18.4,0,4606. UNIVERSITAS NEGERI SEMARANG FAKULTAS ILMU SOSIAL ,tidak
29,3.9,31.564,16.4,12.8,0,4606. UNIVERSITAS NEGERI SEMARANG FAKULTAS ILMU SOSIAL ,tidak
30,3.84,29.527,14.8,18.8,1,5871. UNIVERSITAS TANJUNGPURA FAKULTAS KEDOKTERAN ,tidak
31,3.54,29.818,17.2,14.4,1,5871. UNIVERSITAS TANJUNGPURA FAKULTAS KEDOKTERAN ,tidak
34,3.58,29.746,17.6,16.4,0,5871. UNIVERSITAS TANJUNGPURA FAKULTAS KEDOKTERAN ,tidak
28,3.95,24.8,16.0,19.2,0,5871. UNIVERSITAS TANJUNGPURA FAKULTAS KEDOKTERAN ,tidak
32,3.86,25.454,18.0,16.4,0,5871. UNIVERSITAS TANJUNGPURA FAKULTAS KEDOKTERAN ,tidak
34,3.95,24.873,0.0,14.8,0,5871. UNIVERSITAS TANJUNGPURA FAKULTAS KEDOKTERAN ,tidak
30,3.8,31.2,17.6,17.6,1,5871. UNIVERSITAS TANJUNGPURA FAKULTAS KEDOKTERAN ,tidak
26,3.93,28.727,16.8,18.4,0,5871. UNIVERSITAS TANJUNGPURA FAKULTAS KEDOKTERAN ,tidak
29,4.0,30.254,0.0,0.0,0,5871. UNIVERSITAS TANJUNGPURA FAKULTAS KEDOKTERAN ,tidak
26,3.93,30.254,18.8,18.0,1,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
24,4.0,31.346,20.0,12.4,1,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
34,3.9,26.327,16.0,14.8,1,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
26,3.72,27.127,17.6,18.0,1,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
30,3.97,26.546,16.8,14.0,0,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
29,3.85,30.473,12.8,12.8,0,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
26,3.67,27.927,14.4,11.6,0,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
26,3.57,26.982,16.8,12.0,0,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
30,3.93,28.873,14.0,12.4,0,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
29,3.95,27.709,14.0,13.6,0,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
33,3.48,25.818,18.0,11.6,0,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
30,3.95,29.382,20.0,16.8,1,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
27,3.82,28.582,0.0,0.0,0,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
33,3.82,29.891,0.0,0.0,0,4075. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,tidak
26,3.95,32.509,20.0,17.6,1,3803. UNIVERSITAS MATARAM FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
31,3.74,28.727,17.6,16.0,1,3803. UNIVERSITAS MATARAM FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
34,3.66,27.054,20.0,19.6,1,3803. UNIVERSITAS MATARAM FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
29,3.92,31.418,12.0,12.0,0,3803. UNIVERSITAS MATARAM FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
30,3.62,25.818,11.6,12.4,0,3803. UNIVERSITAS MATARAM FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
32,3.65,27.782,15.6,12.8,0,3803. UNIVERSITAS MATARAM FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
27,3.8,29.527,16.0,17.2,0,3803. UNIVERSITAS MATARAM FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
26,3.63,26.4,12.8,8.0,0,3803. UNIVERSITAS MATARAM FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
28,3.73,30.4,11.2,16.4,1,3803. UNIVERSITAS MATARAM FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
27,3.78,30.327,15.2,15.6,1,2809. POLITEKNIK PERTANIAN NEGERI SAMARINDA JURUSAN MANAJEMEN PERTANIAN ,tidak
33,3.79,28.654,16.8,14.4,1,"5077. UNIVERSITAS PEMBANGUNAN NASIONAL ""VETERAN"" JAWA TIMUR FAKULTAS ARSITEKTUR DAN DESAIN ",tidak
35,3.7,29.091,17.2,18.8,0,"5077. UNIVERSITAS PEMBANGUNAN NASIONAL ""VETERAN"" JAWA TIMUR FAKULTAS ARSITEKTUR DAN DESAIN ",tidak
29,3.71,30.036,15.2,16.0,0,"5077. UNIVERSITAS PEMBANGUNAN NASIONAL ""VETERAN"" JAWA TIMUR FAKULTAS ARSITEKTUR DAN DESAIN ",tidak
26,3.76,26.764,15.2,17.2,0,"5077. UNIVERSITAS PEMBANGUNAN NASIONAL ""VETERAN"" JAWA TIMUR FAKULTAS ARSITEKTUR DAN DESAIN ",tidak
26,3.69,28.073,14.4,15.2,1,5982. UNIVERSITAS TEUKU UMAR FAKULTAS PERIKANAN DAN ILMU KELAUTAN ,tidak
27,3.8,28.073,15.2,17.6,1,5982. UNIVERSITAS TEUKU UMAR FAKULTAS PERIKANAN DAN ILMU KELAUTAN ,tidak
25,3.71,24.218,14.8,17.6,0,5982. UNIVERSITAS TEUKU UMAR FAKULTAS PERIKANAN DAN ILMU KELAUTAN ,tidak
33,3.55,26.036,16.8,16.8,0,5982. UNIVERSITAS TEUKU UMAR FAKULTAS PERIKANAN DAN ILMU KELAUTAN ,tidak
27,3.54,23.709,0.0,0.0,0,5982. UNIVERSITAS TEUKU UMAR FAKULTAS PERIKANAN DAN ILMU KELAUTAN ,tidak
27,3.75,30.546,18.8,18.4,1,5783. UNIVERSITAS SYIAH KUALA FAKULTAS KEPERAWATAN ,tidak
33,3.52,29.964,18.8,18.0,1,5783. UNIVERSITAS SYIAH KUALA FAKULTAS KEPERAWATAN ,tidak
26,3.89,32.582,16.0,15.2,0,5783. UNIVERSITAS SYIAH KUALA FAKULTAS KEPERAWATAN ,tidak
32,3.61,28.654,15.2,14.4,0,5783. UNIVERSITAS SYIAH KUALA FAKULTAS KEPERAWATAN ,tidak
28,3.61,28.509,15.2,13.6,0,5783. UNIVERSITAS SYIAH KUALA FAKULTAS KEPERAWATAN ,tidak
34,3.5,29.091,14.8,14.4,0,5783. UNIVERSITAS SYIAH KUALA FAKULTAS KEPERAWATAN ,tidak
30,3.82,31.782,17.6,17.6,1,2749. POLITEKNIK PERTANIAN NEGERI PANGKAJENE KEPULAUAN JURUSAN AGRIBISNIS ,tidak
28,3.73,29.527,12.8,13.2,0,2749. POLITEKNIK PERTANIAN NEGERI PANGKAJENE KEPULAUAN JURUSAN AGRIBISNIS ,tidak
27,3.7,28.291,14.4,15.2,0,2749. POLITEKNIK PERTANIAN NEGERI PANGKAJENE KEPULAUAN JURUSAN AGRIBISNIS ,tidak
32,3.41,29.891,17.6,16.0,1,"4482. UNIVERSITAS NEGERI PADANG FAKULTAS EKONOMI 2
",tidak
27,3.64,29.527,16.0,18.4,0,"4482. UNIVERSITAS NEGERI PADANG FAKULTAS EKONOMI 2
",tidak
31,3.48,29.673,18.8,19.2,1,"4482. UNIVERSITAS NEGERI PADANG FAKULTAS EKONOMI 2
",tidak
34,3.63,29.746,16.8,16.4,1,5659. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
31,3.39,27.054,13.2,12.4,0,5659. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
30,3.57,25.818,14.8,15.6,0,5659. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
33,3.87,28.8,16.4,18.0,1,4223. UNIVERSITAS NEGERI MAKASSAR FAKULTAS BAHASA DAN SASTRA ,tidak
29,3.93,31.636,11.6,14.0,0,4223. UNIVERSITAS NEGERI MAKASSAR FAKULTAS BAHASA DAN SASTRA ,tidak
28,3.94,30.036,10.8,12.8,0,4223. UNIVERSITAS NEGERI MAKASSAR FAKULTAS BAHASA DAN SASTRA ,tidak
33,3.95,27.782,18.4,18.4,1,3656. UNIVERSITAS MALIKUSSALEH FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
30,4.0,26.909,13.6,13.2,0,3656. UNIVERSITAS MALIKUSSALEH FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
32,3.33,29.091,14.0,13.6,0,3656. UNIVERSITAS MALIKUSSALEH FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
32,3.77,31.636,18.8,19.2,1,4276. UNIVERSITAS NEGERI MAKASSAR FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
29,3.94,30.691,18.4,19.2,1,4276. UNIVERSITAS NEGERI MAKASSAR FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
32,3.77,29.746,14.0,19.2,1,4276. UNIVERSITAS NEGERI MAKASSAR FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
30,3.96,28.8,17.6,9.6,0,4276. UNIVERSITAS NEGERI MAKASSAR FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
30,3.65,29.891,14.8,10.4,0,4276. UNIVERSITAS NEGERI MAKASSAR FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
30,3.85,32.0,12.4,7.2,0,4276. UNIVERSITAS NEGERI MAKASSAR FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
29,3.93,30.182,14.0,12.0,0,4276. UNIVERSITAS NEGERI MAKASSAR FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
35,3.56,29.309,14.4,12.8,0,4276. UNIVERSITAS NEGERI MAKASSAR FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
32,3.81,30.4,0.0,0.0,0,4276. UNIVERSITAS NEGERI MAKASSAR FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,tidak
28,3.87,31.346,19.6,13.6,1,2268. POLITEKNIK NEGERI LAMPUNG JURUSAN EKONOMI DAN BISNIS ,tidak
28,3.79,32.436,19.2,16.8,1,2268. POLITEKNIK NEGERI LAMPUNG JURUSAN EKONOMI DAN BISNIS ,tidak
31,3.41,32.073,14.0,14.8,0,2268. POLITEKNIK NEGERI LAMPUNG JURUSAN EKONOMI DAN BISNIS ,tidak
28,3.96,29.6,19.2,12.4,0,2268. POLITEKNIK NEGERI LAMPUNG JURUSAN EKONOMI DAN BISNIS ,tidak
26,3.57,30.182,13.6,12.8,0,2268. POLITEKNIK NEGERI LAMPUNG JURUSAN EKONOMI DAN BISNIS ,tidak
25,3.74,28.946,12.4,10.8,0,2268. POLITEKNIK NEGERI LAMPUNG JURUSAN EKONOMI DAN BISNIS ,tidak
25,3.97,31.346,19.6,17.2,1,2551. POLITEKNIK NEGERI SEMARANG JURUSAN TEKNIK ELEKTRO ,tidak
33,3.44,27.564,18.4,14.0,1,2551. POLITEKNIK NEGERI SEMARANG JURUSAN TEKNIK ELEKTRO ,tidak
26,3.77,26.618,18.4,16.4,0,2551. POLITEKNIK NEGERI SEMARANG JURUSAN TEKNIK ELEKTRO ,tidak
28,3.0,27.054,18.4,8.8,0,2551. POLITEKNIK NEGERI SEMARANG JURUSAN TEKNIK ELEKTRO ,tidak
35,3.82,26.836,15.2,8.0,0,2551. POLITEKNIK NEGERI SEMARANG JURUSAN TEKNIK ELEKTRO ,tidak
29,3.87,32.146,18.0,15.6,1,2551. POLITEKNIK NEGERI SEMARANG JURUSAN TEKNIK ELEKTRO ,tidak
32,3.41,26.618,14.0,15.2,1,"4552. UNIVERSITAS NEGERI PADANG FAKULTAS TEKNIK 1
",tidak
29,3.44,28.218,13.6,15.6,0,"4552. UNIVERSITAS NEGERI PADANG FAKULTAS TEKNIK 1
",tidak
29,3.76,26.182,18.8,18.4,0,"4552. UNIVERSITAS NEGERI PADANG FAKULTAS TEKNIK 1
",tidak
31,3.86,27.782,18.0,14.8,1,3129. UNIVERSITAS CENDERAWASIH FAKULTAS ILMU KEGURUAN DAN PENDIDIKAN ,tidak
26,3.71,28.146,18.8,14.0,1,3129. UNIVERSITAS CENDERAWASIH FAKULTAS ILMU KEGURUAN DAN PENDIDIKAN ,tidak
29,3.65,24.364,20.0,19.6,1,3129. UNIVERSITAS CENDERAWASIH FAKULTAS ILMU KEGURUAN DAN PENDIDIKAN ,tidak
29,3.73,25.236,20.0,17.2,1,3129. UNIVERSITAS CENDERAWASIH FAKULTAS ILMU KEGURUAN DAN PENDIDIKAN ,tidak
31,3.7,27.2,18.8,14.0,0,3129. UNIVERSITAS CENDERAWASIH FAKULTAS ILMU KEGURUAN DAN PENDIDIKAN ,tidak
32,3.49,28.582,19.6,15.2,0,3129. UNIVERSITAS CENDERAWASIH FAKULTAS ILMU KEGURUAN DAN PENDIDIKAN ,tidak
25,3.8,26.473,19.2,17.6,0,3129. UNIVERSITAS CENDERAWASIH FAKULTAS ILMU KEGURUAN DAN PENDIDIKAN ,tidak
29,3.86,25.164,16.4,13.6,0,3129. UNIVERSITAS CENDERAWASIH FAKULTAS ILMU KEGURUAN DAN PENDIDIKAN ,tidak
30,3.84,23.636,18.4,13.6,1,"3255. UNIVERSITAS JAMBI FAKULTAS PETERNAKAN 4
",tidak
32,3.64,30.036,18.8,18.8,1,5658. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
29,3.34,28.364,17.6,18.0,0,5658. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
33,3.49,28.291,18.8,20.0,0,5658. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,tidak
35,3.66,31.127,20.0,19.2,1,3396. UNIVERSITAS JENDERAL SOEDIRMAN FAKULTAS ILMU BUDAYA ,tidak
33,3.85,30.182,17.2,13.6,0,3396. UNIVERSITAS JENDERAL SOEDIRMAN FAKULTAS ILMU BUDAYA ,tidak
29,3.47,30.254,15.6,13.6,0,3396. UNIVERSITAS JENDERAL SOEDIRMAN FAKULTAS ILMU BUDAYA ,tidak
29,3.85,31.2,18.0,15.6,1,3396. UNIVERSITAS JENDERAL SOEDIRMAN FAKULTAS ILMU BUDAYA ,tidak
33,3.91,29.746,15.2,12.8,0,3396. UNIVERSITAS JENDERAL SOEDIRMAN FAKULTAS ILMU BUDAYA ,tidak
26,3.91,29.236,15.6,12.4,0,3396. UNIVERSITAS JENDERAL SOEDIRMAN FAKULTAS ILMU BUDAYA ,tidak
23,3.97,29.746,14.0,16.0,0,"2364. POLITEKNIK NEGERI MANADO JURUSAN PARIWISATA 1
",tidak
30,4.0,26.836,12.8,8.8,0,"2364. POLITEKNIK NEGERI MANADO JURUSAN PARIWISATA 1
",tidak
31,4.0,26.836,16.8,14.4,0,"2364. POLITEKNIK NEGERI MANADO JURUSAN PARIWISATA 1
",tidak
30,3.59,31.927,14.8,13.2,1,5649. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS HUKUM ,tidak
27,3.69,31.418,16.0,15.2,0,5649. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS HUKUM ,tidak
33,3.53,28.364,12.8,0.0,0,5649. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS HUKUM ,tidak
26,3.82,29.818,15.2,17.2,1,5649. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS HUKUM ,tidak
26,3.86,29.309,14.8,17.6,0,5649. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS HUKUM ,tidak
26,3.82,28.654,15.2,13.2,0,5649. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS HUKUM ,tidak
28,3.7,27.346,13.2,17.6,1,4353. UNIVERSITAS NEGERI MALANG FAKULTAS SASTRA JURUSAN SASTRA JERMAN ,tidak
28,3.75,26.473,12.0,14.8,1,4353. UNIVERSITAS NEGERI MALANG FAKULTAS SASTRA JURUSAN SASTRA JERMAN ,tidak
