Usia,IPK,SKD,Wawancara,Mengajar,Lulus,Lokasi,Lektor
32,3.29,25.454,12.4,11.6,0,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
26,3.81,26.036,10.8,13.6,0,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
30,3.61,25.527,12.8,11.6,0,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
25,3.77,29.6,12.4,18.8,0,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
26,3.71,28.073,12.8,14.8,0,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
28,3.75,26.691,0.0,0.0,0,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
31,3.79,27.564,12.8,14.4,1,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
31,3.49,23.709,14.0,16.8,1,2244. POLITEKNIK NEGERI KUPANG JURUSAN ADMINISTRASI BISNIS ,tidak
27,3.93,32.218,13.2,16.4,1,4592. UNIVERSITAS NEGERI SEMARANG FAKULTAS ILMU PENDIDIKAN ,tidak
33,3.86,31.418,11.2,9.6,0,4592. UNIVERSITAS NEGERI SEMARANG FAKULTAS ILMU PENDIDIKAN ,tidak
31,3.61,28.873,13.6,12.4,0,4592. UNIVERSITAS NEGERI SEMARANG FAKULTAS ILMU PENDIDIKAN ,tidak
32,3.63,30.982,17.2,18.8,1,4663. UNIVERSITAS NEGERI YOGYAKARTA FAKULTAS ILMU PENDIDIKAN ,tidak
30,3.95,31.127,19.2,18.8,0,4663. UNIVERSITAS NEGERI YOGYAKARTA FAKULTAS ILMU PENDIDIKAN ,tidak
30,3.82,30.546,15.2,18.8,0,4663. UNIVERSITAS NEGERI YOGYAKARTA FAKULTAS ILMU PENDIDIKAN ,tidak
32,3.75,31.709,16.4,19.6,1,4663. UNIVERSITAS NEGERI YOGYAKARTA FAKULTAS ILMU PENDIDIKAN ,tidak
27,3.85,32.727,18.4,12.0,0,4663. UNIVERSITAS NEGERI YOGYAKARTA FAKULTAS ILMU PENDIDIKAN ,tidak
26,3.82,30.764,16.0,12.8,0,4663. UNIVERSITAS NEGERI YOGYAKARTA FAKULTAS ILMU PENDIDIKAN ,tidak
