Total Kasus,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
1-Jun,17,334,252,28,22,166,"2,272",15,619,370,654,55,174,164,99,80,102,292,215,267,52,148,122,625,61,74,89,29,36,55,68,41,14,26,,
2-Jun,17,334,273,28,25,168,"2,399",15,648,371,699,55,175,182,99,81,102,292,224,272,52,151,125,625,61,80,92,29,36,55,78,49,14,29,,
3-Jun,17,349,273,28,25,170,"2,586",17,701,371,799,79,177,191,101,82,103,297,226,277,56,160,132,636,64,83,96,30,55,55,78,49,14,29,,
4-Jun,18,364,279,29,25,174,"2,607",27,719,372,"1,089",94,184,191,101,90,103,299,248,312,62,167,132,639,70,86,99,30,55,57,78,49,14,29,,
5-Jun,18,369,324,34,25,174,"2,751",27,764,407,"1,207",109,184,191,104,95,103,299,265,333,62,172,141,673,78,92,100,30,64,74,78,50,14,32,,
6-Jun,18,371,365,34,37,178,"2,836",27,779,409,"1,361",114,206,191,104,107,115,311,297,336,62,179,144,673,86,98,101,33,67,74,78,58,14,44,,
7-Jun,18,373,370,35,40,182,"3,130",27,878,418,"1,409",114,210,202,108,109,120,325,344,340,64,179,154,673,93,101,101,33,67,74,78,61,14,54,,
8-Jun,18,377,372,36,40,185,"3,206",27,952,428,"1,499",117,213,202,117,129,120,325,391,351,73,189,155,673,93,102,103,33,80,74,78,62,30,54,,
9-Jun,18,409,391,41,46,191,"3,371",27,962,508,"1,584",117,216,202,118,130,122,325,402,361,73,189,172,704,93,105,107,33,89,75,78,63,30,62,,
10-Jun,18,412,401,42,47,194,"3,517",27,995,626,"1,681",138,221,213,128,133,123,404,450,389,80,193,174,757,94,108,107,37,89,84,78,63,37,69,,
11-Jun,18,424,411,43,48,195,"3,661",27,"1,016",631,"1,793",145,228,213,164,135,128,448,505,392,97,205,178,757,95,109,107,39,89,85,78,66,37,69,,
12-Jun,18,448,417,48,49,196,"3,781",27,"1,057",681,"1,865",146,239,215,179,135,128,520,543,407,97,205,180,830,95,109,108,40,104,86,78,66,37,79,,
13-Jun,19,462,418,54,58,204,"3,840",37,"1,093",709,"2,117",150,249,215,201,136,133,541,557,411,99,205,190,866,96,111,109,40,105,86,78,70,37,80,,
14-Jun,19,474,440,63,58,210,"4,089",37,"1,135",729,"2,192",159,261,232,231,137,136,577,618,423,101,210,197,902,115,114,109,48,109,87,128,71,40,80,,
15-Jun,19,502,460,63,62,211,"4,195",37,"1,142",765,"2,254",160,262,232,247,137,146,608,651,423,108,216,199,"1,044",121,115,111,48,109,87,191,71,40,87,,
16-Jun,20,510,485,63,63,213,"4,329",45,"1,151",795,"2,325",167,275,243,253,137,149,623,670,459,115,222,203,"1,088",125,116,111,48,111,94,294,71,40,90,,
17-Jun,20,542,508,68,65,216,"4,445",45,"1,177",860,"2,381",167,292,243,333,145,161,654,682,465,122,227,203,"1,104",129,117,112,48,113,96,297,76,40,90,,
18-Jun,20,553,535,95,65,219,"4,573",45,"1,231",880,"2,459",173,310,282,347,146,165,674,708,482,129,234,203,"1,126",130,118,113,49,113,118,297,76,40,90,,
19-Jun,20,566,538,101,68,226,"4,699",46,"1,261",900,"2,562",186,313,282,360,149,170,693,739,493,137,250,204,"1,169",130,121,114,51,136,126,297,77,40,125,,
20-Jun,20,586,569,107,71,231,"4,821",46,"1,261",920,"2,664",195,319,292,385,149,180,714,748,497,140,255,214,"1,245",131,123,116,56,161,128,297,77,40,125,,
21-Jun,20,603,570,107,72,231,"5,054",46,"1,263",942,"2,789",216,322,292,395,149,182,721,752,503,143,259,217,"1,283",132,128,116,56,161,128,297,77,40,138,,
22-Jun,20,615,570,107,72,238,"5,128",46,"1,287",970,"2,855",219,323,299,405,149,183,734,769,505,145,263,217,"1,321",132,128,117,70,164,128,297,77,40,142,,
23-Jun,20,639,583,117,72,238,"5,228",66,"1,317","1,020","2,915",223,324,306,433,149,193,742,816,525,147,266,218,"1,363",140,128,117,82,168,129,297,78,40,142,,
24-Jun,20,646,590,126,73,242,"5,322",66,"1,326","1,030","2,995",228,334,306,448,151,195,761,830,519,149,274,219,"1,402",141,132,120,88,172,145,297,78,40,173,,
25-Jun,20,657,590,127,78,247,"5,434",66,"1,388","1,030","3,236",235,354,306,535,151,197,767,906,561,152,292,219,"1,461",145,135,121,89,190,149,297,79,40,195,,
26-Jun,20,730,603,130,88,252,"5,542",66,"1,498","1,030","3,429",241,359,335,550,151,215,778,921,571,171,356,221,"1,617",147,137,121,97,196,150,297,79,40,195,,
27-Jun,22,751,611,131,89,257,"5,610",69,"1,513","1,052","3,619",251,364,335,643,151,217,783,937,581,172,374,221,"1,658",152,141,121,99,218,152,297,83,40,195,,
